Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"MGSCHOOL_LV", 0.415, 1,    238.791,  -30.2,   0.99662, 2,    238.791, -150.2,   0.99662, 3,    238.791,   89.8,   0.99662
"CHAFERAN_LV", 0.415, 1,    237.193,  -30.6,   0.98995, 2,    237.193, -150.6,   0.98995, 3,    237.193,   89.4,   0.98995
"SHIGUMOMAND_LV", 0.415, 1,    236.955,  -30.7,   0.98896, 2,    236.955, -150.7,   0.98896, 3,    236.955,   89.3,   0.98896
"COLONY_SS", 11, 1,    6281.28,   -0.6,   0.98905, 2,    6281.28, -120.6,   0.98905, 3,    6281.28,  119.4,   0.98905
"3_WAY_GOA_DAIRY_1", 11, 1,    6278.99,   -0.6,   0.98868, 2,    6278.99, -120.6,   0.98868, 3,    6278.99,  119.4,   0.98868
"FORENSIC", 11, 1,    6277.51,   -0.6,   0.98845, 2,    6277.51, -120.6,   0.98845, 3,    6277.51,  119.4,   0.98845
"DADA_VAIDYA", 11, 1,       6276,   -0.6,   0.98821, 2,       6276, -120.6,   0.98821, 3,       6276,  119.4,   0.98821
"3_WAY_DADA_VAIDYA", 11, 1,    6275.89,   -0.6,    0.9882, 2,    6275.89, -120.6,    0.9882, 3,    6275.89,  119.4,    0.9882
"AGARWAL_GARDENS", 11, 1,    6274.14,   -0.6,   0.98792, 2,    6274.14, -120.6,   0.98792, 3,    6274.14,  119.4,   0.98792
"FIBERGLASS", 11, 1,    6272.97,   -0.6,   0.98774, 2,    6272.97, -120.6,   0.98774, 3,    6272.97,  119.4,   0.98774
"4_WAY_SAISERVICE", 11, 1,    6272.53,   -0.6,   0.98767, 2,    6272.53, -120.6,   0.98767, 3,    6272.53,  119.4,   0.98767
"AGARWAL_HTC", 11, 1,    6272.43,   -0.6,   0.98765, 2,    6272.43, -120.6,   0.98765, 3,    6272.43,  119.4,   0.98765
"YUMMY_ICECREAM", 11, 1,    6272.44,   -0.6,   0.98765, 2,    6272.44, -120.6,   0.98765, 3,    6272.44,  119.4,   0.98765
"SHIVLAL", 11, 1,    6272.46,   -0.6,   0.98766, 2,    6272.46, -120.6,   0.98766, 3,    6272.46,  119.4,   0.98766
"KELBAI", 11, 1,    6272.77,   -0.6,   0.98771, 2,    6272.77, -120.6,   0.98771, 3,    6272.77,  119.4,   0.98771
"3_WAY_DOCTOR", 11, 1,    6273.05,   -0.6,   0.98775, 2,    6273.05, -120.6,   0.98775, 3,    6273.05,  119.4,   0.98775
"SURYA_MASALA", 11, 1,    6272.56,   -0.6,   0.98767, 2,    6272.56, -120.6,   0.98767, 3,    6272.56,  119.4,   0.98767
"PISGAL", 11, 1,     6272.4,   -0.6,   0.98765, 2,     6272.4, -120.6,   0.98765, 3,     6272.4,  119.4,   0.98765
"3_WAY_GOADAIRY2", 11, 1,    6278.94,   -0.6,   0.98868, 2,    6278.94, -120.6,   0.98868, 3,    6278.94,  119.4,   0.98868
"DAIRY_HTC", 11, 1,    6278.87,   -0.6,   0.98867, 2,    6278.87, -120.6,   0.98867, 3,    6278.87,  119.4,   0.98867
"DAIRY_OLD", 11, 1,    6278.43,   -0.6,    0.9886, 2,    6278.43, -120.6,    0.9886, 3,    6278.43,  119.4,    0.9886
"3_WAY_MICROWAVE", 11, 1,    6277.01,   -0.6,   0.98837, 2,    6277.01, -120.6,   0.98837, 3,    6277.01,  119.4,   0.98837
"MICROWAVE", 11, 1,    6276.98,   -0.6,   0.98837, 2,    6276.98, -120.6,   0.98837, 3,    6276.98,  119.4,   0.98837
"3_WAY_VEREKAR", 11, 1,    6276.23,   -0.6,   0.98825, 2,    6276.23, -120.6,   0.98825, 3,    6276.23,  119.4,   0.98825
"3_WAY_SAHAKARI", 11, 1,    6276.23,   -0.6,   0.98825, 2,    6276.23, -120.6,   0.98825, 3,    6276.23,  119.4,   0.98825
"ECAP_HTC", 11, 1,    6271.97,   -0.6,   0.98758, 2,    6271.97, -120.6,   0.98758, 3,    6271.97,  119.4,   0.98758
"PRAKASH", 11, 1,    6271.91,   -0.6,   0.98757, 2,    6271.91, -120.6,   0.98757, 3,    6271.91,  119.4,   0.98757
