Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"4W_GANGANATH", 11, 1,    6272.41,   -0.2,   0.98765, 2,    6272.41, -120.2,   0.98765, 3,    6272.41,  119.8,   0.98765
"2W_VARKHANDEM", 11, 1,    6272.41,   -0.2,   0.98765, 2,    6272.41, -120.2,   0.98765, 3,    6272.41,  119.8,   0.98765
"GANGANATH", 11, 1,    6272.38,   -0.2,   0.98764, 2,    6272.38, -120.2,   0.98764, 3,    6272.38,  119.8,   0.98764
"HERITAGE_II", 11, 1,     6271.5,   -0.2,    0.9875, 2,     6271.5, -120.2,    0.9875, 3,     6271.5,  119.8,    0.9875
"HERITAGE_I", 11, 1,    6271.44,   -0.2,    0.9875, 2,    6271.44, -120.2,    0.9875, 3,    6271.44,  119.8,    0.9875
"ALMEDA", 11, 1,       6269,   -0.2,   0.98711, 2,       6269, -120.2,   0.98711, 3,       6269,  119.8,   0.98711
"3W_ALMEDA", 11, 1,    6266.65,   -0.2,   0.98674, 2,    6266.65, -120.2,   0.98674, 3,    6266.65,  119.8,   0.98674
"ANGARKI", 11, 1,    6269.23,   -0.2,   0.98715, 2,    6269.23, -120.2,   0.98715, 3,    6269.23,  119.8,   0.98715
"3W_MARUTI_TEMPLE", 11, 1,    6272.38,   -0.2,   0.98764, 2,    6272.38, -120.2,   0.98764, 3,    6272.38,  119.8,   0.98764
"SUNGRACE_HTC", 11, 1,    6272.58,   -0.2,   0.98767, 2,    6272.58, -120.2,   0.98767, 3,    6272.58,  119.8,   0.98767
"VRUDHAVAN_GARDEN", 11, 1,    6273.52,   -0.2,   0.98782, 2,    6273.52, -120.2,   0.98782, 3,    6273.52,  119.8,   0.98782
"2W_PANDITWADA", 11, 1,    6275.71,   -0.2,   0.98817, 2,    6275.71, -120.2,   0.98817, 3,    6275.71,  119.8,   0.98817
"PATIL", 11, 1,    6255.63,   -0.2,   0.98501, 2,    6255.63, -120.2,   0.98501, 3,    6255.63,  119.8,   0.98501
"3W_PUROHIT", 11, 1,    6245.19,   -0.2,   0.98336, 2,    6245.19, -120.2,   0.98336, 3,    6245.19,  119.8,   0.98336
"BHARDWAJ", 11, 1,    6241.38,   -0.2,   0.98276, 2,    6241.38, -120.2,   0.98276, 3,    6241.38,  119.8,   0.98276
"MAHALAXMI_DEV", 11, 1,    6238.72,   -0.2,   0.98234, 2,    6238.72, -120.2,   0.98234, 3,    6238.72,  119.8,   0.98234
"RAVINAGAR", 11, 1,    6232.96,   -0.2,   0.98144, 2,    6232.96, -120.2,   0.98144, 3,    6232.96,  119.8,   0.98144
"3W_RAVINAGAR", 11, 1,    6232.74,   -0.2,    0.9814, 2,    6232.74, -120.2,    0.9814, 3,    6232.74,  119.8,    0.9814
